Subject,Start Date,Start Time,End Date,End Time
THANKSGIVING BREAK,2026-11-23,09:00 PM,2026-11-23,10:15 PM
CHRISTMAS / NEW YEARS,2026-12-21,09:00 PM,2026-12-21,10:15 PM
SUPER BOWL SUNDAY,2027-02-14,06:30 PM,2027-02-14,07:45 PM
3rd Seed vs 6th Seed,2027-02-22,09:00 PM,2027-02-22,10:15 PM
4th Seed vs 5th Seed,2027-02-24,09:15 PM,2027-02-24,10:30 PM
3rd Seed vs 6th Seed,2027-02-28,06:30 PM,2027-02-28,07:45 PM
4th Seed vs 5th Seed,2027-02-28,07:45 PM,2027-02-28,09:00 PM
"Scrimmage vs 1st Seed 
2nd Seed",2027-02-28,09:00 PM,2027-02-28,10:15 PM
1st Seed vs Lowest Seed Remaining,2027-03-01,09:00 PM,2027-03-01,10:15 PM
2nd Seed vs Highest Seed Remining,2027-03-03,09:15 PM,2027-03-03,10:30 PM
1st Seed vs Lowest Seed Remaining,2027-03-07,06:30 PM,2027-03-07,07:45 PM
2nd Seed vs Highest Seed Remining,2027-03-07,07:45 PM,2027-03-07,09:00 PM
Consolation Game vs Knocked Out in Round 1,2027-03-07,09:00 PM,2027-03-07,10:15 PM
CHAMPIONSHIP G1,2027-03-08,09:00 PM,2027-03-08,10:15 PM
CHAMPIONSHIP G2,2027-03-10,09:15 PM,2027-03-10,10:30 PM
CHAMPIONSHIP G3,2027-03-14,01:00 PM,2027-03-14,02:15 PM
FAMILY SKATE,2027-03-14,02:30 PM,2027-03-14,03:45 PM
ALL-STAR GAME,2027-03-14,04:00 PM,2027-03-14,05:15 PM
PARTY: CROSS-ROADS,2027-03-14,06:00 PM,2027-03-14,07:15 PM
