Subject,Start Date,Start Time,End Date,End Time
Hockey A vs B,2022-10-02,06:45 PM,2022-10-02,08:00 PM
Hockey E vs A,2022-10-05,09:15 PM,2022-10-05,10:30 PM
Hockey A vs C,2022-10-16,06:45 PM,2022-10-16,08:00 PM
Hockey A vs D,2022-10-19,09:15 PM,2022-10-19,10:30 PM
Hockey A vs B,2022-10-23,08:15 PM,2022-10-23,09:30 PM
Hockey E vs A,2022-10-24,09:30 PM,2022-10-24,10:45 PM
Hockey A vs D,2022-10-30,06:45 PM,2022-10-30,08:00 PM
Hockey C vs A,2022-10-31,08:00 PM,2022-10-31,09:15 PM
Hockey C vs A,2022-11-06,08:15 PM,2022-11-06,09:30 PM
Hockey D vs A,2022-11-07,09:30 PM,2022-11-07,10:45 PM
Hockey B vs A,2022-11-13,06:45 PM,2022-11-13,08:00 PM
Hockey A vs E,2022-11-14,08:00 PM,2022-11-14,09:15 PM
Hockey A vs D,2022-11-20,08:15 PM,2022-11-20,09:30 PM
Hockey C vs A,2022-11-21,08:00 PM,2022-11-21,09:15 PM
Hockey B vs A,2022-11-27,08:15 PM,2022-11-27,09:30 PM
Hockey A vs E,2022-11-30,09:15 PM,2022-11-30,10:30 PM
Hockey B vs A,2022-12-04,08:15 PM,2022-12-04,09:30 PM
Hockey E vs A,2022-12-05,09:30 PM,2022-12-05,10:45 PM
Hockey A vs D,2022-12-11,08:15 PM,2022-12-11,09:30 PM
Hockey C vs A,2022-12-14,09:15 PM,2022-12-14,10:30 PM
Hockey A vs B,2022-12-19,08:00 PM,2022-12-19,09:15 PM
Hockey E vs A,2022-12-21,09:15 PM,2022-12-21,10:30 PM
Hockey A vs C,2023-01-08,06:45 PM,2023-01-08,08:00 PM
Hockey A vs D,2023-01-11,09:15 PM,2023-01-11,10:30 PM
Hockey A vs B,2023-01-15,08:15 PM,2023-01-15,09:30 PM
Hockey E vs A,2023-01-16,09:30 PM,2023-01-16,10:45 PM
Hockey A vs D,2023-01-22,06:45 PM,2023-01-22,08:00 PM
Hockey C vs A,2023-01-23,08:00 PM,2023-01-23,09:15 PM
Hockey C vs A,2023-01-29,08:15 PM,2023-01-29,09:30 PM
Hockey D vs A,2023-01-30,09:30 PM,2023-01-30,10:45 PM
Hockey B vs A,2023-02-05,06:45 PM,2023-02-05,08:00 PM
Hockey A vs E,2023-02-06,08:00 PM,2023-02-06,09:15 PM
Hockey A vs D,2023-02-19,08:15 PM,2023-02-19,09:30 PM
Hockey C vs A,2023-02-20,08:00 PM,2023-02-20,09:15 PM
Hockey B vs A,2023-02-26,08:15 PM,2023-02-26,09:30 PM
Hockey A vs E,2023-03-01,09:15 PM,2023-03-01,10:30 PM
Hockey Playoffs,2023-03-05,06:45 PM,2023-03-05,08:00 PM
Hockey Playoffs,2023-03-05,08:15 PM,2023-03-05,09:30 PM
Hockey Playoffs,2023-03-08,09:15 PM,2023-03-08,10:30 PM
Hockey Championship,2023-03-12,06:45 PM,2023-03-12,08:00 PM
