Subject,Start Date,Start Time,End Date,End Time
Hockey A vs B,2022-10-02,06:45 PM,2022-10-02,08:00 PM
Hockey B vs C,2022-10-03,08:00 PM,2022-10-03,09:15 PM
Hockey B vs E,2022-10-16,08:15 PM,2022-10-16,09:30 PM
Hockey B vs D,2022-10-17,09:30 PM,2022-10-17,10:45 PM
Hockey A vs B,2022-10-23,08:15 PM,2022-10-23,09:30 PM
Hockey B vs C,2022-10-26,09:15 PM,2022-10-26,10:30 PM
Hockey B vs E,2022-10-31,09:30 PM,2022-10-31,10:45 PM
Hockey B vs D,2022-11-02,09:15 PM,2022-11-02,10:30 PM
Hockey D vs B,2022-11-06,06:45 PM,2022-11-06,08:00 PM
Hockey E vs B,2022-11-07,08:00 PM,2022-11-07,09:15 PM
Hockey B vs A,2022-11-13,06:45 PM,2022-11-13,08:00 PM
Hockey B vs C,2022-11-14,09:30 PM,2022-11-14,10:45 PM
Hockey B vs E,2022-11-21,09:30 PM,2022-11-21,10:45 PM
Hockey D vs B,2022-11-23,09:15 PM,2022-11-23,10:30 PM
Hockey B vs A,2022-11-27,08:15 PM,2022-11-27,09:30 PM
Hockey C vs B,2022-11-28,08:00 PM,2022-11-28,09:15 PM
Hockey B vs A,2022-12-04,08:15 PM,2022-12-04,09:30 PM
Hockey B vs C,2022-12-07,09:15 PM,2022-12-07,10:30 PM
Hockey B vs E,2022-12-11,06:45 PM,2022-12-11,08:00 PM
Hockey D vs B,2022-12-12,08:00 PM,2022-12-12,09:15 PM
Hockey B vs C,2022-12-18,06:45 PM,2022-12-18,08:00 PM
Hockey A vs B,2022-12-19,08:00 PM,2022-12-19,09:15 PM
Hockey B vs E,2023-01-08,08:15 PM,2023-01-08,09:30 PM
Hockey B vs D,2023-01-09,09:30 PM,2023-01-09,10:45 PM
Hockey A vs B,2023-01-15,08:15 PM,2023-01-15,09:30 PM
Hockey B vs C,2023-01-18,09:15 PM,2023-01-18,10:30 PM
Hockey B vs E,2023-01-23,09:30 PM,2023-01-23,10:45 PM
Hockey B vs D,2023-01-25,09:15 PM,2023-01-25,10:30 PM
Hockey D vs B,2023-01-29,06:45 PM,2023-01-29,08:00 PM
Hockey E vs B,2023-01-30,08:00 PM,2023-01-30,09:15 PM
Hockey B vs A,2023-02-05,06:45 PM,2023-02-05,08:00 PM
Hockey B vs C,2023-02-06,09:30 PM,2023-02-06,10:45 PM
Hockey B vs E,2023-02-20,09:30 PM,2023-02-20,10:45 PM
Hockey D vs B,2023-02-22,09:15 PM,2023-02-22,10:30 PM
Hockey B vs A,2023-02-26,08:15 PM,2023-02-26,09:30 PM
Hockey C vs B,2023-02-27,08:00 PM,2023-02-27,09:15 PM
Hockey Playoffs,2023-03-05,06:45 PM,2023-03-05,08:00 PM
Hockey Playoffs,2023-03-05,08:15 PM,2023-03-05,09:30 PM
Hockey Playoffs,2023-03-08,09:15 PM,2023-03-08,10:30 PM
Hockey Championship,2023-03-12,06:45 PM,2023-03-12,08:00 PM
