Subject,Start Date,Start Time,End Date,End Time
Hockey C vs D,2022-10-02,08:15 PM,2022-10-02,09:30 PM
Hockey B vs C,2022-10-03,08:00 PM,2022-10-03,09:15 PM
Hockey A vs C,2022-10-16,06:45 PM,2022-10-16,08:00 PM
Hockey C vs E,2022-10-17,08:00 PM,2022-10-17,09:15 PM
Hockey C vs D,2022-10-24,08:00 PM,2022-10-24,09:15 PM
Hockey B vs C,2022-10-26,09:15 PM,2022-10-26,10:30 PM
Hockey C vs E,2022-10-30,08:15 PM,2022-10-30,09:30 PM
Hockey C vs A,2022-10-31,08:00 PM,2022-10-31,09:15 PM
Hockey C vs A,2022-11-06,08:15 PM,2022-11-06,09:30 PM
Hockey E vs C,2022-11-09,09:15 PM,2022-11-09,10:30 PM
Hockey D vs C,2022-11-13,08:15 PM,2022-11-13,09:30 PM
Hockey B vs C,2022-11-14,09:30 PM,2022-11-14,10:45 PM
Hockey C vs E,2022-11-20,06:45 PM,2022-11-20,08:00 PM
Hockey C vs A,2022-11-21,08:00 PM,2022-11-21,09:15 PM
Hockey D vs C,2022-11-27,06:45 PM,2022-11-27,08:00 PM
Hockey C vs B,2022-11-28,08:00 PM,2022-11-28,09:15 PM
Hockey D vs C,2022-12-05,08:00 PM,2022-12-05,09:15 PM
Hockey B vs C,2022-12-07,09:15 PM,2022-12-07,10:30 PM
Hockey E vs C,2022-12-12,09:30 PM,2022-12-12,10:45 PM
Hockey C vs A,2022-12-14,09:15 PM,2022-12-14,10:30 PM
Hockey B vs C,2022-12-18,06:45 PM,2022-12-18,08:00 PM
Hockey C vs D,2022-12-19,09:30 PM,2022-12-19,10:45 PM
Hockey A vs C,2023-01-08,06:45 PM,2023-01-08,08:00 PM
Hockey C vs E,2023-01-09,08:00 PM,2023-01-09,09:15 PM
Hockey C vs D,2023-01-16,08:00 PM,2023-01-16,09:15 PM
Hockey B vs C,2023-01-18,09:15 PM,2023-01-18,10:30 PM
Hockey C vs E,2023-01-22,08:15 PM,2023-01-22,09:30 PM
Hockey C vs A,2023-01-23,08:00 PM,2023-01-23,09:15 PM
Hockey C vs A,2023-01-29,08:15 PM,2023-01-29,09:30 PM
Hockey E vs C,2023-02-01,09:15 PM,2023-02-01,10:30 PM
Hockey D vs C,2023-02-05,08:15 PM,2023-02-05,09:30 PM
Hockey B vs C,2023-02-06,09:30 PM,2023-02-06,10:45 PM
Hockey C vs E,2023-02-19,06:45 PM,2023-02-19,08:00 PM
Hockey C vs A,2023-02-20,08:00 PM,2023-02-20,09:15 PM
Hockey D vs C,2023-02-26,06:45 PM,2023-02-26,08:00 PM
Hockey C vs B,2023-02-27,08:00 PM,2023-02-27,09:15 PM
Hockey Playoffs,2023-03-05,06:45 PM,2023-03-05,08:00 PM
Hockey Playoffs,2023-03-05,08:15 PM,2023-03-05,09:30 PM
Hockey Playoffs,2023-03-08,09:15 PM,2023-03-08,10:30 PM
Hockey Championship,2023-03-12,06:45 PM,2023-03-12,08:00 PM
