Subject,Start Date,Start Time,End Date,End Time
Hockey C vs D,2022-10-02,08:15 PM,2022-10-02,09:30 PM
Hockey D vs E,2022-10-03,09:30 PM,2022-10-03,10:45 PM
Hockey B vs D,2022-10-17,09:30 PM,2022-10-17,10:45 PM
Hockey A vs D,2022-10-19,09:15 PM,2022-10-19,10:30 PM
Hockey D vs E,2022-10-23,06:45 PM,2022-10-23,08:00 PM
Hockey C vs D,2022-10-24,08:00 PM,2022-10-24,09:15 PM
Hockey A vs D,2022-10-30,06:45 PM,2022-10-30,08:00 PM
Hockey B vs D,2022-11-02,09:15 PM,2022-11-02,10:30 PM
Hockey D vs B,2022-11-06,06:45 PM,2022-11-06,08:00 PM
Hockey D vs A,2022-11-07,09:30 PM,2022-11-07,10:45 PM
Hockey D vs C,2022-11-13,08:15 PM,2022-11-13,09:30 PM
Hockey D vs E,2022-11-16,09:15 PM,2022-11-16,10:30 PM
Hockey A vs D,2022-11-20,08:15 PM,2022-11-20,09:30 PM
Hockey D vs B,2022-11-23,09:15 PM,2022-11-23,10:30 PM
Hockey D vs C,2022-11-27,06:45 PM,2022-11-27,08:00 PM
Hockey D vs E,2022-11-28,09:30 PM,2022-11-28,10:45 PM
Hockey E vs D,2022-12-04,06:45 PM,2022-12-04,08:00 PM
Hockey D vs C,2022-12-05,08:00 PM,2022-12-05,09:15 PM
Hockey A vs D,2022-12-11,08:15 PM,2022-12-11,09:30 PM
Hockey D vs B,2022-12-12,08:00 PM,2022-12-12,09:15 PM
Hockey D vs E,2022-12-18,08:15 PM,2022-12-18,09:30 PM
Hockey C vs D,2022-12-19,09:30 PM,2022-12-19,10:45 PM
Hockey B vs D,2023-01-09,09:30 PM,2023-01-09,10:45 PM
Hockey A vs D,2023-01-11,09:15 PM,2023-01-11,10:30 PM
Hockey D vs E,2023-01-15,06:45 PM,2023-01-15,08:00 PM
Hockey C vs D,2023-01-16,08:00 PM,2023-01-16,09:15 PM
Hockey A vs D,2023-01-22,06:45 PM,2023-01-22,08:00 PM
Hockey B vs D,2023-01-25,09:15 PM,2023-01-25,10:30 PM
Hockey D vs B,2023-01-29,06:45 PM,2023-01-29,08:00 PM
Hockey D vs A,2023-01-30,09:30 PM,2023-01-30,10:45 PM
Hockey D vs C,2023-02-05,08:15 PM,2023-02-05,09:30 PM
Hockey D vs E,2023-02-08,09:15 PM,2023-02-08,10:30 PM
Hockey A vs D,2023-02-19,08:15 PM,2023-02-19,09:30 PM
Hockey D vs B,2023-02-22,09:15 PM,2023-02-22,10:30 PM
Hockey D vs C,2023-02-26,06:45 PM,2023-02-26,08:00 PM
Hockey D vs E,2023-02-27,09:30 PM,2023-02-27,10:45 PM
Hockey Playoffs,2023-03-05,06:45 PM,2023-03-05,08:00 PM
Hockey Playoffs,2023-03-05,08:15 PM,2023-03-05,09:30 PM
Hockey Playoffs,2023-03-08,09:15 PM,2023-03-08,10:30 PM
Hockey Championship,2023-03-12,06:45 PM,2023-03-12,08:00 PM
