Subject,Start Date,Start Time,End Date,End Time
Hockey D vs E,2022-10-03,09:30 PM,2022-10-03,10:45 PM
Hockey E vs A,2022-10-05,09:15 PM,2022-10-05,10:30 PM
Hockey B vs E,2022-10-16,08:15 PM,2022-10-16,09:30 PM
Hockey C vs E,2022-10-17,08:00 PM,2022-10-17,09:15 PM
Hockey D vs E,2022-10-23,06:45 PM,2022-10-23,08:00 PM
Hockey E vs A,2022-10-24,09:30 PM,2022-10-24,10:45 PM
Hockey C vs E,2022-10-30,08:15 PM,2022-10-30,09:30 PM
Hockey B vs E,2022-10-31,09:30 PM,2022-10-31,10:45 PM
Hockey E vs B,2022-11-07,08:00 PM,2022-11-07,09:15 PM
Hockey E vs C,2022-11-09,09:15 PM,2022-11-09,10:30 PM
Hockey A vs E,2022-11-14,08:00 PM,2022-11-14,09:15 PM
Hockey D vs E,2022-11-16,09:15 PM,2022-11-16,10:30 PM
Hockey C vs E,2022-11-20,06:45 PM,2022-11-20,08:00 PM
Hockey B vs E,2022-11-21,09:30 PM,2022-11-21,10:45 PM
Hockey D vs E,2022-11-28,09:30 PM,2022-11-28,10:45 PM
Hockey A vs E,2022-11-30,09:15 PM,2022-11-30,10:30 PM
Hockey E vs D,2022-12-04,06:45 PM,2022-12-04,08:00 PM
Hockey E vs A,2022-12-05,09:30 PM,2022-12-05,10:45 PM
Hockey B vs E,2022-12-11,06:45 PM,2022-12-11,08:00 PM
Hockey E vs C,2022-12-12,09:30 PM,2022-12-12,10:45 PM
Hockey D vs E,2022-12-18,08:15 PM,2022-12-18,09:30 PM
Hockey E vs A,2022-12-21,09:15 PM,2022-12-21,10:30 PM
Hockey B vs E,2023-01-08,08:15 PM,2023-01-08,09:30 PM
Hockey C vs E,2023-01-09,08:00 PM,2023-01-09,09:15 PM
Hockey D vs E,2023-01-15,06:45 PM,2023-01-15,08:00 PM
Hockey E vs A,2023-01-16,09:30 PM,2023-01-16,10:45 PM
Hockey C vs E,2023-01-22,08:15 PM,2023-01-22,09:30 PM
Hockey B vs E,2023-01-23,09:30 PM,2023-01-23,10:45 PM
Hockey E vs B,2023-01-30,08:00 PM,2023-01-30,09:15 PM
Hockey E vs C,2023-02-01,09:15 PM,2023-02-01,10:30 PM
Hockey A vs E,2023-02-06,08:00 PM,2023-02-06,09:15 PM
Hockey D vs E,2023-02-08,09:15 PM,2023-02-08,10:30 PM
Hockey C vs E,2023-02-19,06:45 PM,2023-02-19,08:00 PM
Hockey B vs E,2023-02-20,09:30 PM,2023-02-20,10:45 PM
Hockey D vs E,2023-02-27,09:30 PM,2023-02-27,10:45 PM
Hockey A vs E,2023-03-01,09:15 PM,2023-03-01,10:30 PM
Hockey Playoffs,2023-03-05,06:45 PM,2023-03-05,08:00 PM
Hockey Playoffs,2023-03-05,08:15 PM,2023-03-05,09:30 PM
Hockey Playoffs,2023-03-08,09:15 PM,2023-03-08,10:30 PM
Hockey Championship,2023-03-12,06:45 PM,2023-03-12,08:00 PM
