Subject,Start Date,Start Time,End Date,End Time
Hockey vs Ice Cream Bar (teal),2024-10-06,09:30 PM,2024-10-06,10:45 PM
Hockey vs Diane's Dipsticks (blue),2024-10-09,09:15 PM,2024-10-09,10:30 PM
Hockey vs Orcutt (gold),2024-10-20,08:00 PM,2024-10-20,09:15 PM
Hockey vs Black Sheep,2024-10-23,09:15 PM,2024-10-23,10:30 PM
Hockey vs Ice Cream Bar (teal),2024-10-27,09:30 PM,2024-10-27,10:45 PM
Hockey vs Mansour's (white),2024-10-30,09:15 PM,2024-10-30,10:30 PM
Hockey vs Orcutt (gold),2024-11-03,09:30 PM,2024-11-03,10:45 PM
Hockey vs Mansour's (white),2024-11-06,09:15 PM,2024-11-06,10:30 PM
Hockey vs Mansour's (white),2024-11-10,09:30 PM,2024-11-10,10:45 PM
Hockey vs Black Sheep,2024-11-11,09:15 PM,2024-11-11,10:30 PM
Hockey vs Diane's Dipsticks (blue),2024-11-13,09:15 PM,2024-11-13,10:30 PM
Hockey vs Mansour's (white),2024-11-17,08:00 PM,2024-11-17,09:15 PM
Hockey vs Diane's Dipsticks (blue),2024-11-20,09:15 PM,2024-11-20,10:30 PM
Hockey vs Ice Cream Bar (teal),2024-12-02,09:15 PM,2024-12-02,10:30 PM
Hockey vs Orcutt (gold),2024-12-04,09:15 PM,2024-12-04,10:30 PM
Hockey vs Ice Cream Bar (teal),2024-12-08,06:30 PM,2024-12-08,07:45 PM
Hockey vs Orcutt (gold),2025-01-19,06:30 PM,2025-01-19,07:45 PM
Hockey vs Black Sheep,2025-01-20,09:15 PM,2025-01-20,10:30 PM
Hockey vs Black Sheep,2025-01-26,09:30 PM,2025-01-26,10:45 PM
Hockey vs Diane's Dipsticks (blue),2025-01-27,09:15 PM,2025-01-27,10:30 PM
Hockey vs Mansour's (white),2025-02-02,06:30 PM,2025-02-02,07:45 PM
Hockey vs Black Sheep,2025-02-05,09:15 PM,2025-02-05,10:30 PM
Hockey vs Diane's Dipsticks (blue),2025-02-19,09:15 PM,2025-02-19,10:30 PM
Hockey vs Mansour's (white),2025-02-23,06:30 PM,2025-02-23,07:45 PM
Hockey vs Ice Cream Bar (teal),2025-02-24,09:15 PM,2025-02-24,10:30 PM
Hockey vs Orcutt (gold),2025-03-02,09:30 PM,2025-03-02,10:45 PM
Hockey Semifinal,2025-03-03,09:15 PM,2025-03-03,10:30 PM
Hockey Semifinal,2025-03-05,09:15 PM,2025-03-05,10:30 PM
Hockey 5th Place,2025-03-09,03:00 PM,2025-03-09,04:15 PM
Hockey 3rd Place,2025-03-09,04:30 PM,2025-03-09,05:45 PM
Hockey Championship,2025-03-09,06:00 PM,2025-03-09,07:15 PM
