Subject,Start Date,Start Time,End Date,End Time
Hockey vs Diane's (blue),2023-10-06,06:30 PM,2023-10-06,07:45 PM
Hockey vs Orcutt (gold),2023-10-13,06:30 PM,2023-10-13,07:45 PM
Hockey vs Instant Replay (red),2023-10-20,06:30 PM,2023-10-20,07:45 PM
Hockey vs MBA Outlaws (gray),2023-10-23,09:15 PM,2023-10-23,10:30 PM
Hockey vs Diane's (blue),2023-10-27,08:00 PM,2023-10-27,09:15 PM
Hockey vs Mansour's (white),2023-10-28,09:15 PM,2023-10-28,10:30 PM
Hockey vs Instant Replay (red),2023-11-03,09:30 PM,2023-11-03,10:45 PM
Hockey vs Diane's (blue),2023-11-10,09:30 PM,2023-11-10,10:45 PM
Hockey vs MBA Outlaws (gray),2023-11-11,09:15 PM,2023-11-11,10:30 PM
Hockey vs Orcutt (gold),2023-11-17,09:30 PM,2023-11-17,10:45 PM
Hockey vs Mansour's (white),2023-11-18,09:15 PM,2023-11-18,10:30 PM
Hockey vs Instant Replay (red),2023-12-01,09:30 PM,2023-12-01,10:45 PM
Hockey vs Diane's (blue),2023-12-08,06:30 PM,2023-12-08,07:45 PM
Hockey vs Mansour's (white),2023-12-11,09:15 PM,2023-12-11,10:30 PM
Hockey vs Instant Replay (red),2023-12-15,08:00 PM,2023-12-15,09:15 PM
Hockey vs Orcutt (gold),2023-12-15,09:30 PM,2023-12-15,10:45 PM
Hockey vs Orcutt (gold),2023-12-16,09:15 PM,2023-12-16,10:30 PM
Hockey vs Diane's (blue),2024-01-05,09:30 PM,2024-01-05,10:45 PM
Hockey vs Mansour's (white),2024-01-08,09:15 PM,2024-01-08,10:30 PM
Hockey vs Orcutt (gold),2024-01-12,09:30 PM,2024-01-12,10:45 PM
Hockey vs Mansour's (white),2024-01-15,09:15 PM,2024-01-15,10:30 PM
Hockey vs Instant Replay (red),2024-01-19,08:00 PM,2024-01-19,09:15 PM
Hockey vs MBA Outlaws (gray),2024-01-20,09:15 PM,2024-01-20,10:30 PM
Hockey vs Diane's (blue),2024-01-26,09:30 PM,2024-01-26,10:45 PM
Hockey vs Instant Replay (red),2024-02-02,06:30 PM,2024-02-02,07:45 PM
Hockey vs MBA Outlaws (gray),2024-02-05,09:15 PM,2024-02-05,10:30 PM
Hockey vs Diane's (blue),2024-02-16,06:30 PM,2024-02-16,07:45 PM
Hockey vs Orcutt (gold),2024-02-23,06:30 PM,2024-02-23,07:45 PM
Hockey vs Mansour's (white),2024-03-02,09:30 PM,2024-03-02,10:45 PM
Hockey vs Orcutt (gold),2024-03-05,09:15 PM,2024-03-05,10:30 PM
