Subject,Start Date,Start Time,End Date,End Time
Hockey vs Dan Smalls Presents (black),2025-10-05,06:30 PM,2025-10-05,07:45 PM
Hockey vs MBA Instant Replay (red),2025-10-08,09:15 PM,2025-10-08,10:30 PM
Hockey vs Ice Cream Bar (teal),2025-10-12,09:30 PM,2025-10-12,10:45 PM
Hockey vs Mansour's (white),2025-10-19,09:30 PM,2025-10-19,10:45 PM
Hockey vs Ice Cream Bar (teal),2025-10-26,09:30 PM,2025-10-26,10:45 PM
Hockey vs Mansour's (white),2025-11-02,08:00 PM,2025-11-02,09:15 PM
Hockey vs Ice Cream Bar (teal),2025-11-03,09:15 PM,2025-11-03,10:30 PM
Hockey vs Dan Smalls Presents (black),2025-11-09,06:30 PM,2025-11-09,07:45 PM
Hockey vs MBA Instant Replay (red),2025-11-12,09:15 PM,2025-11-12,10:30 PM
Hockey vs Ice Cream Bar (teal),2025-11-16,06:30 PM,2025-11-16,07:45 PM
Hockey vs MBA Instant Replay (red),2025-11-19,09:15 PM,2025-11-19,10:30 PM
Hockey vs Orcutt (gold),2025-11-23,06:30 PM,2025-11-23,07:45 PM
Hockey vs Mansour's (white),2025-11-23,08:00 PM,2025-11-23,09:15 PM
Hockey vs Mansour's (white),2025-12-07,08:00 PM,2025-12-07,09:15 PM
Hockey vs Dan Smalls Presents (black),2025-12-14,08:00 PM,2025-12-14,09:15 PM
Hockey vs Dan Smalls Presents (black),2025-12-15,09:15 PM,2025-12-15,10:30 PM
Hockey vs Ice Cream Bar (teal),2025-12-17,09:15 PM,2025-12-17,10:30 PM
Hockey vs Dan Smalls Presents (black),2025-12-21,06:30 PM,2025-12-21,07:45 PM
Hockey vs Orcutt (gold),2025-12-21,08:00 PM,2025-12-21,09:15 PM
Hockey vs Orcutt (gold),2026-01-04,08:00 PM,2026-01-04,09:15 PM
Hockey vs Orcutt (gold),2026-01-05,09:15 PM,2026-01-05,10:30 PM
Hockey vs Ice Cream Bar (teal),2026-01-11,09:30 PM,2026-01-11,10:45 PM
Hockey vs Dan Smalls Presents (black),2026-01-14,09:15 PM,2026-01-14,10:30 PM
Hockey vs Orcutt (gold),2026-01-25,08:00 PM,2026-01-25,09:15 PM
Hockey vs MBA Instant Replay (red),2026-01-26,09:15 PM,2026-01-26,10:30 PM
Hockey vs Dan Smalls Presents (black),2026-02-01,08:00 PM,2026-02-01,09:15 PM
Hockey vs Ice Cream Bar (teal),2026-02-02,09:15 PM,2026-02-02,10:30 PM
Hockey vs Mansour's (white),2026-02-15,08:00 PM,2026-02-15,09:15 PM
Hockey vs MBA Instant Replay (red),2026-02-18,09:15 PM,2026-02-18,10:30 PM
Hockey vs Orcutt (gold),2026-02-22,08:00 PM,2026-02-22,09:15 PM
