Subject,Start Date,Start Time,End Date,End Time
Hockey vs Mansour's (white),2023-10-08,07:45 PM,2023-10-08,09:00 PM
Hockey vs Black Sheep,2023-10-09,10:00 PM,2023-10-09,11:15 PM
Hockey vs Black Sheep,2023-10-15,06:15 PM,2023-10-15,07:30 PM
Hockey vs Diane's (blue),2023-10-16,08:30 PM,2023-10-16,09:45 PM
Hockey vs Instant Replay (red),2023-10-18,09:15 PM,2023-10-18,10:30 PM
Hockey vs MBA Outlaws (gray),2023-10-22,07:45 PM,2023-10-22,09:00 PM
Hockey vs Diane's (blue),2023-10-23,08:30 PM,2023-10-23,09:45 PM
Hockey vs Mansour's (white),2023-10-29,09:15 PM,2023-10-29,10:30 PM
Hockey vs MBA Outlaws (gray),2023-11-01,09:15 PM,2023-11-01,10:30 PM
Hockey vs MBA Outlaws (gray),2023-11-05,06:15 PM,2023-11-05,07:30 PM
Hockey vs Black Sheep,2023-11-06,10:00 PM,2023-11-06,11:15 PM
Hockey vs Mansour's (white),2023-11-13,10:00 PM,2023-11-13,11:15 PM
Hockey vs Black Sheep,2023-11-19,09:15 PM,2023-11-19,10:30 PM
Hockey vs Instant Replay (red),2023-11-20,10:00 PM,2023-11-20,11:15 PM
Hockey vs Diane's (blue),2023-12-03,06:15 PM,2023-12-03,07:30 PM
Hockey vs MBA Outlaws (gray),2023-12-06,09:15 PM,2023-12-06,10:30 PM
Hockey vs Mansour's (white),2023-12-10,07:45 PM,2023-12-10,09:00 PM
Hockey vs Instant Replay (red),2023-12-11,08:30 PM,2023-12-11,09:45 PM
Hockey vs Black Sheep,2023-12-17,09:15 PM,2023-12-17,10:30 PM
Hockey vs Black Sheep,2023-12-18,08:30 PM,2023-12-18,09:45 PM
Hockey vs Instant Replay (red),2024-01-07,06:15 PM,2024-01-07,07:30 PM
Hockey vs Mansour's (white),2024-01-07,07:45 PM,2024-01-07,09:00 PM
Hockey vs Diane's (blue),2024-01-08,08:30 PM,2024-01-08,09:45 PM
Hockey vs Black Sheep,2024-01-14,09:15 PM,2024-01-14,10:30 PM
Hockey vs Instant Replay (red),2024-01-15,08:30 PM,2024-01-15,09:45 PM
Hockey vs MBA Outlaws (gray),2024-01-21,09:15 PM,2024-01-21,10:30 PM
Hockey vs Diane's (blue),2024-01-22,10:00 PM,2024-01-22,11:15 PM
Hockey vs Mansour's (white),2024-01-28,06:15 PM,2024-01-28,07:30 PM
Hockey vs Instant Replay (red),2024-01-31,09:15 PM,2024-01-31,10:30 PM
Hockey vs MBA Outlaws (gray),2024-02-04,07:45 PM,2024-02-04,09:00 PM
Hockey vs Mansour's (white),2024-02-18,07:45 PM,2024-02-18,09:00 PM
Hockey vs Diane's (blue),2024-02-21,09:15 PM,2024-02-21,10:30 PM
Hockey vs Black Sheep,2024-02-25,06:15 PM,2024-02-25,07:30 PM
Hockey Playoff: 4th vs. 5th game 1/2,2024-02-26,08:30 PM,2024-02-26,09:45 PM
Hockey Scrimmage: 1st vs. 2nd,2024-02-26,10:00 PM,2024-02-26,11:15 PM
Hockey Playoff: 3rd vs. 6th game 1/2,2024-02-28,09:15 PM,2024-02-28,10:30 PM
Hockey Playoff: 4th vs. 5th game 2/2,2024-03-03,06:15 PM,2024-03-03,07:30 PM
Hockey Playoff: 3rd vs. 6th game 2/2,2024-03-03,07:45 PM,2024-03-03,09:00 PM
Hockey Scrimmage: 1st vs. 2nd,2024-03-03,09:15 PM,2024-03-03,10:30 PM
Hockey Semifinal: 1st vs. TBD game 1,2024-03-04,08:30 PM,2024-03-04,09:45 PM
Hockey Semifinal: 2nd vs. TBD game 1,2024-03-04,10:00 PM,2024-03-04,11:15 PM
Hockey Semifinal: 1st vs. TBD game 2,2024-03-06,08:00 PM,2024-03-06,09:15 PM
Hockey Semifinal: 2nd vs. TBD game 2,2024-03-06,09:30 PM,2024-03-06,10:45 PM
Hockey 5th Place Game,2024-03-10,03:00 PM,2024-03-10,04:15 PM
Hockey 3rd Place Game,2024-03-10,04:30 PM,2024-03-10,05:45 PM
Hockey Championship,2024-03-10,06:00 PM,2024-03-10,07:15 PM
