Subject,Start Date,Start Time,End Date,End Time
Hockey vs Mansour's (purple),2026-10-04,07:45 PM,2026-10-04,09:00 PM
Hockey vs Mansour's (purple),2026-10-05,09:00 PM,2026-10-05,10:15 PM
Hockey vs Diane's Dipsticks (blue),2026-10-11,09:00 PM,2026-10-11,10:15 PM
Hockey vs Dan Smalls Presents (black),2026-10-12,09:00 PM,2026-10-12,10:15 PM
Hockey vs Dan Smalls Presents (black),2026-10-18,06:30 PM,2026-10-18,07:45 PM
Hockey vs Orcutt (gold),2026-10-19,09:00 PM,2026-10-19,10:15 PM
Hockey vs Diane's Dipsticks (blue),2026-10-25,09:00 PM,2026-10-25,10:15 PM
Hockey vs Dan Smalls Presents (black),2026-11-01,06:30 PM,2026-11-01,07:45 PM
Hockey vs MBA Instant Replay (red),2026-11-01,09:00 PM,2026-11-01,10:15 PM
Hockey vs Mansour's (purple),2026-11-08,07:45 PM,2026-11-08,09:00 PM
Hockey vs Diane's Dipsticks (blue),2026-11-15,06:30 PM,2026-11-15,07:45 PM
Hockey vs MBA Instant Replay (red),2026-11-16,09:00 PM,2026-11-16,10:15 PM
Hockey vs Mansour's (purple),2026-11-22,07:45 PM,2026-11-22,09:00 PM
Hockey vs MBA Instant Replay (red),2026-11-30,09:00 PM,2026-11-30,10:15 PM
Hockey vs MBA Instant Replay (red),2026-12-06,09:00 PM,2026-12-06,10:15 PM
Hockey vs Diane's Dipsticks (blue),2026-12-13,07:45 PM,2026-12-13,09:00 PM
Hockey vs Orcutt (gold),2026-12-16,09:15 PM,2026-12-16,10:30 PM
Hockey vs Mansour's (purple),2026-12-20,09:00 PM,2026-12-20,10:15 PM
Hockey vs Dan Smalls Presents (black),2027-01-03,06:30 PM,2027-01-03,07:45 PM
Hockey vs Dan Smalls Presents (black),2027-01-10,06:30 PM,2027-01-10,07:45 PM
Hockey vs Diane's Dipsticks (blue),2027-01-10,07:45 PM,2027-01-10,09:00 PM
Hockey vs Orcutt (gold),2027-01-13,09:15 PM,2027-01-13,10:30 PM
Hockey vs Orcutt (gold),2027-01-17,09:00 PM,2027-01-17,10:15 PM
Hockey vs Mansour's (purple),2027-01-20,09:15 PM,2027-01-20,10:30 PM
Hockey vs Orcutt (gold),2027-01-24,06:30 PM,2027-01-24,07:45 PM
Hockey vs Orcutt (gold),2027-01-27,09:15 PM,2027-01-27,10:30 PM
Hockey vs MBA Instant Replay (red),2027-01-31,06:30 PM,2027-01-31,07:45 PM
Hockey vs Diane's Dipsticks (blue),2027-02-01,09:00 PM,2027-02-01,10:15 PM
Hockey vs Orcutt (gold),2027-02-07,09:00 PM,2027-02-07,10:15 PM
Hockey vs Dan Smalls Presents (black),2027-02-21,09:00 PM,2027-02-21,10:15 PM
