Subject,Start Date,Start Time,End Date,End Time
Hockey vs Instant Replay (red),2023-10-08,09:15 PM,2023-10-08,10:30 PM
Hockey vs Diane's (blue),2023-10-11,09:15 PM,2023-10-11,10:30 PM
Hockey vs Mansour's (white),2023-10-15,09:15 PM,2023-10-15,10:30 PM
Hockey vs Orcutt (gold),2023-10-22,07:45 PM,2023-10-22,09:00 PM
Hockey vs Black Sheep,2023-10-25,09:15 PM,2023-10-25,10:30 PM
Hockey vs Instant Replay (red),2023-10-29,06:15 PM,2023-10-29,07:30 PM
Hockey vs Mansour's (white),2023-10-30,08:30 PM,2023-10-30,09:45 PM
Hockey vs Orcutt (gold),2023-11-01,09:15 PM,2023-11-01,10:30 PM
Hockey vs Orcutt (gold),2023-11-05,06:15 PM,2023-11-05,07:30 PM
Hockey vs Instant Replay (red),2023-11-06,08:30 PM,2023-11-06,09:45 PM
Hockey vs Mansour's (white),2023-11-08,09:15 PM,2023-11-08,10:30 PM
Hockey vs Mansour's (white),2023-11-12,06:15 PM,2023-11-12,07:30 PM
Hockey vs Instant Replay (red),2023-11-12,07:45 PM,2023-11-12,09:00 PM
Hockey vs Black Sheep,2023-11-13,08:30 PM,2023-11-13,09:45 PM
Hockey vs Diane's (blue),2023-11-15,09:15 PM,2023-11-15,10:30 PM
Hockey vs Mansour's (white),2023-11-19,07:45 PM,2023-11-19,09:00 PM
Hockey vs Diane's (blue),2023-11-29,09:15 PM,2023-11-29,10:30 PM
Hockey vs Diane's (blue),2023-12-03,07:45 PM,2023-12-03,09:00 PM
Hockey vs Black Sheep,2023-12-04,10:00 PM,2023-12-04,11:15 PM
Hockey vs Orcutt (gold),2023-12-06,09:15 PM,2023-12-06,10:30 PM
Hockey vs Instant Replay (red),2023-12-10,09:15 PM,2023-12-10,10:30 PM
Hockey vs Diane's (blue),2023-12-11,10:00 PM,2023-12-11,11:15 PM
Hockey vs Diane's (blue),2024-01-15,10:00 PM,2024-01-15,11:15 PM
Hockey vs Orcutt (gold),2024-01-21,09:15 PM,2024-01-21,10:30 PM
Hockey vs Black Sheep,2024-01-22,08:30 PM,2024-01-22,09:45 PM
Hockey vs Instant Replay (red),2024-01-28,07:45 PM,2024-01-28,09:00 PM
Hockey vs Diane's (blue),2024-01-29,08:30 PM,2024-01-29,09:45 PM
Hockey vs Orcutt (gold),2024-02-04,07:45 PM,2024-02-04,09:00 PM
Hockey vs Mansour's (white),2024-02-05,08:30 PM,2024-02-05,09:45 PM
Hockey vs Black Sheep,2024-02-07,09:15 PM,2024-02-07,10:30 PM
Hockey vs Instant Replay (red),2024-02-18,09:15 PM,2024-02-18,10:30 PM
Hockey vs Black Sheep,2024-02-19,10:00 PM,2024-02-19,11:15 PM
Hockey vs Mansour's (white),2024-02-25,09:15 PM,2024-02-25,10:30 PM
Hockey Playoff: 4th vs. 5th game 1/2,2024-02-26,08:30 PM,2024-02-26,09:45 PM
Hockey Scrimmage: 1st vs. 2nd,2024-02-26,10:00 PM,2024-02-26,11:15 PM
Hockey Playoff: 3rd vs. 6th game 1/2,2024-02-28,09:15 PM,2024-02-28,10:30 PM
Hockey Playoff: 4th vs. 5th game 2/2,2024-03-03,06:15 PM,2024-03-03,07:30 PM
Hockey Playoff: 3rd vs. 6th game 2/2,2024-03-03,07:45 PM,2024-03-03,09:00 PM
Hockey Scrimmage: 1st vs. 2nd,2024-03-03,09:15 PM,2024-03-03,10:30 PM
Hockey Semifinal: 1st vs. TBD game 1,2024-03-04,08:30 PM,2024-03-04,09:45 PM
Hockey Semifinal: 2nd vs. TBD game 1,2024-03-04,10:00 PM,2024-03-04,11:15 PM
Hockey Semifinal: 1st vs. TBD game 2,2024-03-06,08:00 PM,2024-03-06,09:15 PM
Hockey Semifinal: 2nd vs. TBD game 2,2024-03-06,09:30 PM,2024-03-06,10:45 PM
Hockey 5th Place Game,2024-03-10,03:00 PM,2024-03-10,04:15 PM
Hockey 3rd Place Game,2024-03-10,04:30 PM,2024-03-10,05:45 PM
Hockey Championship,2024-03-10,06:00 PM,2024-03-10,07:15 PM
